,Timestamp,TeamId,PlayerId,AST,STL,TO,BLK,FL,REB,DEFENSIVE_REB,OFFENSIVE_REB,FG2,FGA2,FG3,FGA3,FT,FTA,FG_CAS,FGA_CAS,FG_OTD,FGA_OTD,FG2_CAS,FGA2_CAS,FG2_OTD,FGA2_OTD,FG3_CAS,FGA3_CAS,FG3_OTD,FGA3_OTD,PASS0_2,PASS3_5,PASS6,PT0,PT1,BR0,BR1,BR2,TRANSITION,class,game
395,1582173068403.0,1729.0,67897.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_9672b049-537c-11ea-ab59-024282923f19
399,1582173072403.0,1730.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,M_9672b049-537c-11ea-ab59-024282923f19
402,1582173106588.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_9672b049-537c-11ea-ab59-024282923f19
405,1582173120532.0,1730.0,78852.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
411,1582173175555.0,1729.0,67887.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_9672b049-537c-11ea-ab59-024282923f19
420,1582173214529.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_9672b049-537c-11ea-ab59-024282923f19
423,1582173223013.0,1730.0,78852.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_9672b049-537c-11ea-ab59-024282923f19
432,1582173406495.0,1730.0,78846.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_9672b049-537c-11ea-ab59-024282923f19
2,1582168112131.0,1737.0,68011.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_ea97103a-537c-11ea-ab59-024282923f19
16,1582168243191.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_ea97103a-537c-11ea-ab59-024282923f19
20,1582168276773.0,1713.0,79832.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_ea97103a-537c-11ea-ab59-024282923f19
26,1582168305582.0,1713.0,79832.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,M_ea97103a-537c-11ea-ab59-024282923f19
29,1582168314623.0,1737.0,77727.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_ea97103a-537c-11ea-ab59-024282923f19
49,1582168486657.0,1713.0,67337.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_ea97103a-537c-11ea-ab59-024282923f19
63,1582168711873.0,1713.0,67339.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_ea97103a-537c-11ea-ab59-024282923f19
66,1582168727724.0,1713.0,67349.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_ea97103a-537c-11ea-ab59-024282923f19
69,1582168735565.0,1737.0,68005.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_ea97103a-537c-11ea-ab59-024282923f19
74,1582168758574.0,1737.0,68001.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,M_ea97103a-537c-11ea-ab59-024282923f19
77,1582168777749.0,1713.0,67339.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_ea97103a-537c-11ea-ab59-024282923f19
88,1582168869116.0,1713.0,67337.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_ea97103a-537c-11ea-ab59-024282923f19
106,1582169095907.0,1713.0,67337.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_ea97103a-537c-11ea-ab59-024282923f19
119,1582169317073.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,M_ea97103a-537c-11ea-ab59-024282923f19
147,1582169597598.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,M_ea97103a-537c-11ea-ab59-024282923f19
153,1582169640140.0,1713.0,67349.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_ea97103a-537c-11ea-ab59-024282923f19
156,1582169652748.0,1737.0,77725.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_ea97103a-537c-11ea-ab59-024282923f19
167,1582169950589.0,1737.0,68005.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,M_ea97103a-537c-11ea-ab59-024282923f19
188,1582170207694.0,1737.0,77725.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_ea97103a-537c-11ea-ab59-024282923f19
193,1582170225640.0,1713.0,67342.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,M_ea97103a-537c-11ea-ab59-024282923f19
199,1582170247599.0,1713.0,67349.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_ea97103a-537c-11ea-ab59-024282923f19
213,1582170485531.0,1737.0,77725.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,M_ea97103a-537c-11ea-ab59-024282923f19
223,1582170522466.0,1713.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,M_ea97103a-537c-11ea-ab59-024282923f19
226,1582170570798.0,1737.0,68012.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_ea97103a-537c-11ea-ab59-024282923f19
238,1582170740565.0,1737.0,68005.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_ea97103a-537c-11ea-ab59-024282923f19
259,1582171869406.0,1737.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_ea97103a-537c-11ea-ab59-024282923f19
262,1582171910747.0,1713.0,67339.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_ea97103a-537c-11ea-ab59-024282923f19
265,1582171918023.0,1737.0,68001.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,M_ea97103a-537c-11ea-ab59-024282923f19
2,1581473180472.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
5,1581473204626.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
12,1581473284510.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
18,1581473296770.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
35,1581473511636.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
38,1581473536402.0,1713.0,79832.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
44,1581473563876.0,1729.0,67883.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
47,1581473579180.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
50,1581473598103.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
53,1581473617389.0,1713.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
56,1581473789568.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
61,1581473860103.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
64,1581473887944.0,1713.0,67339.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
72,1581473956765.0,1713.0,67339.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
78,1581474007752.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
81,1581474025769.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
86,1581474063928.0,1713.0,67342.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
93,1581474266102.0,1713.0,67349.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
97,1581474311502.0,1729.0,78377.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
102,1581474355943.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
113,1581474416153.0,1713.0,67348.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
123,1581474450094.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
131,1581474551803.0,1729.0,67887.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
134,1581474566578.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
148,1581474810745.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
153,1581474844229.0,1729.0,67881.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
168,1581474965452.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
181,1581475142944.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
186,1581475319296.0,1729.0,67881.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
196,1581475466628.0,1713.0,67351.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
202,1581475505195.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
212,1581475627753.0,1713.0,67346.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
215,1581475656537.0,1729.0,67885.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
227,1581476885313.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
231,1581476899665.0,1729.0,67900.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
246,1581477020012.0,1713.0,67348.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
275,1581477447645.0,1713.0,67337.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
278,1581477462670.0,1729.0,67884.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
289,1581477549198.0,1713.0,67348.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
292,1581477564928.0,1729.0,67900.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
298,1581477655895.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
307,1581477735063.0,1713.0,67337.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
310,1581477744029.0,1729.0,67897.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
318,1581477958260.0,1713.0,67342.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
321,1581477970105.0,1729.0,67883.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,M_aa5ba87c-4d2a-11ea-b7ea-0242bdc61da9
